DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,CLASE,DPTO,fex_c_2011
646424,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,405.013.651.627.577
646424,1,2,50,2,4,,2,2,2,2,,,1,10,,,,,,,2,25,405.013.651.627.577
646425,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,204.983.906.370.691
646425,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,204.983.906.370.691
646426,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,282.957.518.843.023
646426,1,2,50,1,1,,,,,,,,,,,,,,,,2,25,282.957.518.843.023
646426,1,3,50,1,3,,2,2,2,2,,,2,,,,,,,,2,25,282.957.518.843.023
646427,1,1,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646427,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646427,1,3,50,3,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
646428,1,1,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,239.070.802.135.239
646428,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,239.070.802.135.239
646428,1,3,50,2,1,,,,,,,,,,,,,,,,2,25,239.070.802.135.239
646428,1,5,50,2,1,,,,,,,,,,,,,,,,2,25,239.070.802.135.239
646429,1,1,50,3,1,,,,,,,,,,,,,,,,2,25,348.726.326.366.654
646429,1,2,50,3,4,,2,2,2,1,1,,,,,,,,,1,2,25,348.726.326.366.654
646429,1,3,50,3,4,,2,2,2,1,2,,,,,,,,,1,2,25,348.726.326.366.654
646430,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,510.250.607.113.111
646430,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,510.250.607.113.111
646431,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,316.983.638.029.336
646431,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,316.983.638.029.336
646431,1,3,50,3,3,,2,2,2,2,,,2,,,,,,,,2,25,316.983.638.029.336
646444,1,1,50,1,4,,2,2,2,2,,,2,,,,,,,,2,25,228.732.997.885.254
646445,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,342.919.298.954.405
646445,1,2,50,2,4,,2,2,1,,,,,,,,,,,,2,25,342.919.298.954.405
646445,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,342.919.298.954.405
646445,1,4,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,342.919.298.954.405
646446,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,204.983.906.370.691
646446,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,204.983.906.370.691
646447,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
646447,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646447,1,3,50,2,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
646447,1,4,50,4,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
646448,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,217.188.711.319.392
646448,1,2,50,1,4,,1,,,,,,,,,,,,,,2,25,217.188.711.319.392
646448,1,3,50,3,3,,2,2,2,2,,,2,,,,,,,,2,25,217.188.711.319.392
646449,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,396.483.301.529.336
646449,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,396.483.301.529.336
646449,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,396.483.301.529.336
646450,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,347.198.836.458.666
646450,1,2,50,1,4,,2,2,2,1,1,,,,,,,,,1,2,25,347.198.836.458.666
646451,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,23.891.059.878.342
646451,1,2,50,1,4,,1,,,,,,,,,,,,,,2,25,23.891.059.878.342
646452,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,533.819.357.177.211
646452,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,533.819.357.177.211
646453,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,551.581.079.829.061
646453,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,551.581.079.829.061
646453,1,3,50,3,4,,2,2,2,2,,,2,,,,,,,,2,25,551.581.079.829.061
646454,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,355.124.103.903.105
646454,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,355.124.103.903.105
646454,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,355.124.103.903.105
646454,1,4,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,355.124.103.903.105
646454,1,5,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,355.124.103.903.105
646455,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,221.468.248.823.653
646470,1,1,50,1,4,,2,2,2,2,,,2,,,,,,,,2,25,228.732.997.885.254
646471,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,330.714.494.005.704
646471,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,330.714.494.005.704
646471,1,3,50,2,1,,,,,,,,,,,,,,,,2,25,330.714.494.005.704
646472,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,314.230.151.552.743
646472,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,314.230.151.552.743
646472,1,3,50,2,1,,,,,,,,,,,,,,,,2,25,314.230.151.552.743
646472,1,4,50,2,4,,2,2,1,,,,,,,,,,,,2,25,314.230.151.552.743
646473,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,641.788.222.160.373
646473,1,2,50,2,4,,2,2,2,2,,,1,10,,,,,,,2,25,641.788.222.160.373
646474,1,1,50,1,4,,2,2,2,2,,,2,,,,,,,,2,25,228.732.997.885.254
646475,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,317.203.583.947.834
646475,1,2,50,2,4,,2,2,1,,,,,,,,,,,,2,25,317.203.583.947.834
646475,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,317.203.583.947.834
646476,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,222.426.256.330.459
646476,1,2,50,2,4,,2,2,1,,,,,,,,,,,,2,25,222.426.256.330.459
646476,1,3,50,1,6,DESCANSAR,2,2,2,2,,,2,,,,,,,,2,25,222.426.256.330.459
646477,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,304.998.778.999.134
646477,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,304.998.778.999.134
646478,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
