Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3374034;1;2;1;10;1;2;1;1;1960;53;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;12;27;1033,49480028317
3374034;1;3;1;10;1;1;1;4;1999;14;5;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;12;27;1033,49480028317
3374035;1;1;1;10;1;2;1;3;1965;48;1;2;1; ; ;1;1;150000;2;1;2; ;6;7;5;2;18;12;27;975,91226201415
3374035;1;2;1;10;1;1;1;11;1968;45;2;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;12;27;975,91226201415
3374036;1;1;1;10;1;2;1;8;1953;60;1;5;1; ; ;3; ; ;9;2;2; ;1;0; ;2;0;12;27;1808,47760077775
3374036;1;2;1;10;1;1;1;1;1989;24;3;6;1; ; ;3; ; ;2;1;2; ;6;2;3;2;13;12;27;1808,47760077775
3374036;1;3;1;10;1;2;1;8;1991;22;3;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;27;1808,47760077775
3374036;1;4;1;10;3;1;2; ; ;27;5;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;12;27;1808,47760077775
3374036;1;5;1;10;1;2;2; ; ;9;4; ;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;12;27;1808,47760077775
3374036;1;6;1;10;1;2;2; ; ;7;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;12;27;1808,47760077775
3374036;1;7;1;10;1;1;2; ; ;5;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;12;27;1808,47760077775
3374036;1;8;1;10;1;1;1;11;2009;4;4; ;1; ; ;3; ; ;2;2;1;1;2;1; ;2;0;12;27;1808,47760077775
3374037;1;1;1;10;1;1;1;7;1972;41;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;12;27;1583,76363161679
3374037;1;2;1;10;1;2;1;5;1973;40;2;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;12;27;1583,76363161679
3374037;1;3;1;10;1;2;1;12;1995;18;3;6;1; ; ;3; ; ;2;1;1;1;5;11;1;2;11;12;27;1583,76363161679
3374037;1;4;1;10;1;2;1;7;1998;15;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;12;27;1583,76363161679
3374037;1;5;1;10;1;1;1;5;2004;9;3; ;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;12;27;1583,76363161679
3374037;1;6;1;10;1;2;1;2;1993;20;3;1;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;12;27;1583,76363161679
3374037;1;7;1;10;7;1;1;5;1988;25;5;1;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;12;27;1583,76363161679
3374037;1;8;1;10;1;2;1;2;2013;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;12;27;1583,76363161679
3374037;1;9;1;10;1;1;1;6;2011;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;12;27;1583,76363161679
3374037;1;10;1;10;1;2;1;8;1950;63;5;5;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;12;27;1583,76363161679
3374038;1;1;1;10;1;1;1;5;1966;47;1;6;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;12;27;1459,76061369421
3374056;1;1;1;10;1;1;1;1;1947;66;1;3;1; ; ;1;2;200000;1;1;2; ;3;5; ;2;5;12;27;827,913421318776
3374056;1;2;1;10;1;2;1;12;1946;67;2;3;1; ; ;1;1;98;9;1;2; ;6;5;4;2;16;12;27;827,913421318776
3374056;1;3;1;10;3;1;1;7;1997;16;3;6;9; ; ; ; ; ;9;1;1;1;4;9; ;2;9;12;27;827,913421318776
3374057;1;1;1;10;1;2;1;9;1982;31;1;1;1; ; ;3; ; ;1;1;2; ;4;6; ;2;6;12;27;1239,24967505855
3374057;1;2;1;10;2;1;1;11;1970;43;2;1;1; ; ;3; ; ;9;1;2; ;5;11;2;2;11;12;27;1239,24967505855
