Directorio;Secuencia_p;Orden;Area;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Dpto;Fex_c_2011
216282;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;660,350864538487
216283;2;1;05;50;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;597,183221051655
216283;2;2;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;597,183221051655
216283;2;5;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;597,183221051655
216284;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;650,751261394833
216284;2;2;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;650,751261394833
216285;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;825,904185436285
216285;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;825,904185436285
216285;2;5;05;50;5;6;DESCANSAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;825,904185436285
216286;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;584,560096640248
216286;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;584,560096640248
216286;2;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;584,560096640248
216286;2;4;05;50;4;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;584,560096640248
216286;2;5;05;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;584,560096640248
216286;2;6;05;50;6;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;584,560096640248
216286;2;7;05;50;7;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;584,560096640248
216287;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;826,588894374396
216287;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;826,588894374396
216288;2;1;05;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;640,466949313069
216288;2;2;05;50;2;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;05;640,466949313069
216288;2;3;05;50;3;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;05;640,466949313069
216289;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;856,463410121151
216289;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;856,463410121151
216290;2;1;05;50;1;6;PENSIONADO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;900,704531112002
216291;2;1;05;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;705,210093631797
216292;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;813,57067923742
216292;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;813,57067923742
216292;2;3;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;813,57067923742
216293;2;1;05;50;2;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;05;847,254804355181
216293;2;2;05;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;847,254804355181
216293;2;3;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;847,254804355181
216294;2;1;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;661,63674715784
216294;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;661,63674715784
216294;2;3;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;661,63674715784
216294;2;4;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;661,63674715784
216294;2;5;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;661,63674715784
216295;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;824,245988696868
216295;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;824,245988696868
216295;2;3;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;824,245988696868
216296;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1127,15851323542
216296;2;2;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1127,15851323542
216297;2;1;05;50;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;586,84401332268
216297;2;2;05;50;2;2; ;2;2;2;1;5; ; ; ; ; ; ; ; ;1;05;586,84401332268
216298;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;826,588894374396
216298;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;826,588894374396
216299;2;1;05;50;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;774,020636930699
216299;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;774,020636930699
216299;2;3;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;774,020636930699
216300;2;1;05;50;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;747,422208925302
216300;2;2;05;50;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;747,422208925302
216300;2;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;747,422208925302
216301;2;1;05;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;705,210093631797
216302;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;671,026173997935
216302;2;2;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;671,026173997935
216303;2;1;05;50;1;6;PASEAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;728,156401802343
216303;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;728,156401802343
216303;2;3;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;728,156401802343
216303;2;4;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;728,156401802343
216304;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;889,466919648686
